STATE,STATEFIPS,COUNTYFIPS,FIPS,TP-TotPop,PS-TOPop,PS-WGWFr,PS-WSWFr,PS-WFrTo,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IT-IrSpr,IT-IrMic,IT-IrSur,IT-IrTot,IT-WGWFr,IT-WSWFr,IT-WFrTo,LA-WGWFr,LA-WSWFr,LA-WFrTo,LS-WGWFr,LS-WSWFr,LS-WFrTo,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PO-WSWFr,PO-WSWSa,PO-WSWTo,PE-WGWFr,PE-WSWFr,PE-WSWSa,PE-WSWTo,PE-WFrTo,PE-WSaTo,PE-Wtotl,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-WTotl,,,,,,,
CA,06,081,06081,707.16,703.64,7.21,86.66,93.87,3.52,0.24,0.03,0.27,0.16,0.00,0.16,0.00,0.00,0.00,0.16,0.00,0.16,3.59,1.40,0.00,4.99,5.50,2.79,8.29,0.00,0.00,0.00,0.12,0.15,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.23,0.00,13.23,89.63,0.00,89.63,102.86,0.00,102.86,,,,,,,
CA,06,083,06083,399.35,352.44,28.36,35.13,63.49,46.91,3.17,0.35,3.52,1.39,0.00,1.39,0.00,0.00,0.00,1.39,0.00,1.39,43.52,114.20,1.80,159.52,281.87,65.61,347.48,0.00,0.00,0.00,0.68,0.87,1.55,1.12,7.91,9.03,0.00,0.36,0.36,1.12,8.27,9.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,316.59,7.91,324.50,101.96,0.36,102.32,418.55,8.27,426.82,,,,,,,
CA,06,085,06085,1682.59,1666.14,105.56,181.35,286.91,16.45,1.11,0.12,1.23,13.77,0.00,13.77,1.72,0.00,1.72,15.49,0.00,15.49,9.31,11.70,0.00,21.01,30.83,7.10,37.93,0.00,0.00,0.00,0.37,0.47,0.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,151.64,0.00,151.64,190.76,0.00,190.76,342.40,0.00,342.40,,,,,,,
CA,06,087,06087,255.60,220.60,14.23,12.47,26.70,35.00,2.36,0.26,2.62,3.00,0.00,3.00,0.76,0.00,0.76,3.76,0.00,3.76,2.11,21.70,0.00,23.81,40.49,3.97,44.46,0.40,0.00,0.40,0.15,0.19,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.63,0.00,60.63,17.65,0.00,17.65,78.28,0.00,78.28,,,,,,,
CA,06,089,06089,163.26,137.70,12.82,24.46,37.28,25.56,1.73,0.19,1.92,2.91,0.00,2.91,0.00,0.00,0.00,2.91,0.00,2.91,17.24,8.80,68.50,94.54,120.42,174.50,294.92,38.78,56.51,95.29,0.52,0.66,1.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,177.18,0.00,177.18,256.32,0.00,256.32,433.50,0.00,433.50,,,,,,,
CA,06,091,06091,3.56,1.67,0.58,0.08,0.66,1.89,0.13,0.01,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,13.00,5.70,37.40,43.10,0.00,0.00,0.00,0.23,0.30,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.64,0.00,6.64,37.79,0.00,37.79,44.43,0.00,44.43,,,,,,,
CA,06,093,06093,44.30,23.74,4.25,3.67,7.92,20.56,1.39,0.15,1.54,0.10,0.00,0.10,0.00,0.00,0.00,0.10,0.00,0.10,133.12,6.00,48.40,187.52,132.61,377.25,509.86,0.00,40.50,40.50,0.79,1.01,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,139.14,0.00,139.14,422.58,0.00,422.58,561.72,0.00,561.72,,,,,,,
CA,06,095,06095,394.54,385.90,9.73,59.92,69.65,8.64,0.58,0.06,0.64,1.26,0.00,1.26,0.00,0.00,0.00,1.26,0.00,1.26,69.20,20.40,65.90,155.50,107.57,337.54,445.11,0.02,0.00,0.02,0.45,0.57,1.02,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,119.61,0.02,119.63,398.09,0.00,398.09,517.70,0.02,517.72,,,,,,,
CA,06,097,06097,458.61,349.80,55.71,0.46,56.17,108.81,7.34,0.82,8.16,6.83,0.00,6.83,0.04,0.00,0.04,6.87,0.00,6.87,18.43,35.10,5.90,59.43,14.66,59.57,74.23,0.76,6.92,7.68,2.72,3.47,6.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88.02,0.00,88.02,71.28,0.00,71.28,159.30,0.00,159.30,,,,,,,
CA,06,099,06099,447.00,361.83,84.97,31.15,116.12,85.17,5.76,0.64,6.40,12.91,0.00,12.91,0.00,0.00,0.00,12.91,0.00,12.91,37.12,96.20,321.40,454.72,496.40,904.25,1400.65,0.03,0.00,0.03,34.82,44.32,79.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,634.89,0.00,634.89,980.36,0.00,980.36,1615.25,0.00,1615.25,,,,,,,
CA,06,101,06101,78.93,57.62,6.01,9.74,15.75,21.31,1.44,0.16,1.60,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.01,60.26,18.70,185.20,264.16,250.85,653.74,904.59,0.00,0.00,0.00,0.11,0.14,0.25,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,258.42,0.01,258.43,663.78,0.00,663.78,922.20,0.01,922.21,,,,,,,
CA,06,103,06103,56.04,23.45,6.73,0.00,6.73,32.59,2.20,0.24,2.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.34,40.20,30.30,104.84,178.64,168.00,346.64,13.18,41.95,55.13,0.60,0.77,1.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,201.35,0.00,201.35,210.96,0.00,210.96,412.31,0.00,412.31,,,,,,,
CA,06,105,06105,13.02,6.30,0.00,1.31,1.31,6.72,0.45,0.05,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.81,0.00,9.60,10.41,12.21,9.67,21.88,0.00,21.00,21.00,0.06,0.08,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.72,0.00,12.72,32.11,0.00,32.11,44.83,0.00,44.83,,,,,,,
CA,06,107,06107,368.02,264.60,63.47,18.50,81.97,103.42,6.98,0.78,7.76,4.95,0.00,4.95,0.00,0.07,0.07,4.95,0.07,5.02,85.10,277.40,447.30,809.80,1198.08,1049.87,2247.95,0.29,0.26,0.55,28.97,36.87,65.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1302.74,0.00,1302.74,1106.28,0.07,1106.35,2409.02,0.07,2409.09,,,,,,,
CA,06,109,06109,54.50,54.22,3.02,4.06,7.08,0.28,0.02,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.36,0.30,0.00,1.66,1.34,3.81,5.15,0.00,20.12,20.12,0.17,0.22,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,4.55,28.21,0.00,28.21,32.76,0.00,32.76,,,,,,,
CA,06,111,06111,753.20,736.97,32.86,124.46,157.32,16.23,0.83,0.09,0.92,0.40,0.00,0.40,0.00,0.00,0.00,0.40,0.00,0.40,43.70,71.30,15.80,130.80,138.52,91.67,230.19,12.96,0.00,12.96,0.37,0.47,0.84,0.00,5.85,5.85,0.00,0.10,0.10,0.00,5.95,5.95,0.00,0.00,702.02,702.02,0.00,702.02,702.02,0.00,702.02,702.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,185.94,5.85,191.79,216.69,702.12,918.81,402.63,707.97,1110.60,,,,,,,
CA,06,113,06113,168.66,135.20,30.73,9.73,40.46,33.46,2.26,0.25,2.51,2.11,0.00,2.11,0.00,0.09,0.09,2.11,0.09,2.20,47.37,35.10,225.80,308.27,290.85,691.28,982.13,0.00,0.00,0.00,0.16,0.20,0.36,0.35,0.00,0.35,0.09,0.00,0.09,0.44,0.00,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,326.46,0.00,326.46,701.55,0.09,701.64,1028.01,0.09,1028.10,,,,,,,
CA,06,115,06115,60.22,39.33,10.63,0.50,11.13,20.89,1.41,0.16,1.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.55,28.90,38.80,89.25,86.34,271.93,358.27,0.00,0.00,0.00,0.51,0.64,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.89,0.00,98.89,273.23,0.00,273.23,372.12,0.00,372.12,,,,,,,
